ReadName,Mapping_x,MapStart_x,MapEnd_x,Strand,Mapping_y,MapStart_y,MapQual,ReadLength,MapEnd_y,StrandStatus,Region of Interest,StrandDirection
3b963579-15be-422d-8342-4acabdf27b7a,pFB2,851,990,rev,pFB2,851,44,131,982,Lead,Others,revLead
282abc7a-03fb-4846-819d-a0c79eeb2f91,pFB2,852,1000,fwd,pFB2,852,60,155,1007,Lag,Others,fwdLag
647c4ec4-d405-4b15-9e30-ac7f2fd0c034,pFB2,853,1004,fwd,pFB2,853,60,145,998,Lag,Others,fwdLag
e3a1bd02-4646-4953-9e11-da3cf0773c47,pFB2,853,1025,rev,pFB2,853,60,172,1025,Lead,Others,revLead
74ffe0bc-d9bd-471c-8709-3ee9bd200350,pFB2,856,1016,rev,pFB2,856,60,164,1020,Lead,Others,revLead
65cc6472-2bbd-4554-a42d-bf3aaabffa7a,pFB2,857,968,fwd,pFB2,857,22,137,994,Lag,Others,fwdLag
cd11b303-7d82-4991-94cb-b1cbde5b12dd,pFB2,857,1016,rev,pFB2,857,60,159,1016,Lead,Others,revLead
e706e388-8e53-48b1-b4b2-d0d8f167f36c,pFB2,857,1016,fwd,pFB2,857,34,153,1010,Lag,Others,fwdLag
47a51510-56dd-4e9f-85df-f55d921b4be2,pFB2,857,991,rev,pFB2,857,60,134,991,Lead,Others,revLead
95eeb056-f320-472b-a6da-3b968db5a1d6,pFB2,858,991,rev,pFB2,858,50,130,988,Lead,Others,revLead
100f34a0-1b37-4a87-a5d8-c65d376da912,pFB2,859,1016,fwd,pFB2,859,60,157,1016,Lag,Others,fwdLag
420056bb-193f-4754-95f4-11f0f6af7b41,pFB2,859,990,rev,pFB2,859,29,127,986,Lead,Others,revLead
17ea6cbc-2ad8-4101-bcbe-43a5a855861f,pFB2,861,1023,rev,pFB2,861,60,162,1023,Lead,Others,revLead
fa4391e0-c4d9-4ab2-870c-1fd5c4410d16,pFB2,865,1025,rev,pFB2,865,60,163,1028,Lead,Others,revLead
7087cf01-5bee-486c-bd32-3b0e0f999322,pFB2,868,1027,fwd,pFB2,868,60,172,1040,Lag,Others,fwdLag
6fd6af46-59ce-430d-a279-c5c0cf92a4e5,pFB2,870,1026,fwd,pFB2,870,60,155,1025,Lag,Others,fwdLag
642b2dc1-6a69-4838-9b51-045580e93944,pFB2,871,1020,fwd,pFB2,871,60,147,1018,Lag,Others,fwdLag
99734e9e-dc87-4297-bfef-26ac907465aa,pFB2,873,1027,fwd,pFB2,873,60,156,1029,Lag,Others,fwdLag
16bfe221-712b-4eae-9f00-7f611e3312f9,pFB2,873,1034,rev,pFB2,873,60,161,1034,Lead,Others,revLead
a47331ba-f13a-47e3-bf08-7af2428a8257,pFB2,875,1022,fwd,pFB2,875,60,154,1029,Lag,Others,fwdLag
e4461b24-5f1d-4274-ad27-c2304b8f6c23,pFB2,882,1016,rev,pFB2,882,42,133,1015,Lead,Others,revLead
1d037d0f-d8dd-434f-945c-9e76cd843a9f,pFB2,884,1045,fwd,pFB2,884,48,158,1042,Lag,Others,fwdLag
25f35586-272a-4d05-90da-4f7fefbc635c,pFB2,885,1045,rev,pFB2,885,37,159,1044,Lead,Others,revLead
1ea4a44b-7c1a-4e58-9001-a07af7baead2,pFB2,893,1045,rev,pFB2,893,28,149,1042,Lead,Others,revLead
530ae0b5-4452-4b35-a53b-a3f6ee45e682,pFB2,894,1064,fwd,pFB2,894,60,164,1058,Lag,Others,fwdLag
f726db4a-eaf6-4c40-b9fa-b05fc71742b1,pFB2,896,1028,rev,pFB2,896,60,145,1041,Lead,Others,revLead
9bc27b9b-dcdd-49db-a074-6ff2b8bd6249,pFB2,896,1034,rev,pFB2,896,28,144,1040,Lead,Others,revLead
b38c52c5-cdfa-4104-8b9a-f113e988f271,pFB2,897,1028,rev,pFB2,897,60,145,1042,Lead,Others,revLead
f3f0f154-9692-4b21-997a-5f87ceed5077,pFB2,898,1046,fwd,pFB2,898,60,149,1047,Lag,Others,fwdLag
7bd3e5f8-8c42-43ec-8834-3639d2c1a9bd,pFB2,899,1036,fwd,pFB2,899,37,140,1039,Lag,Others,fwdLag
